2023-06-30 10:08:15.554 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-06-30 10:08:15.574 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-06-30 10:08:15.575 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.10]
2023-06-30 10:08:15.704 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-30 10:08:15.705 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1877 ms
2023-06-30 10:08:17.679 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-06-30 10:08:29.232 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-30 10:08:29.233 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-06-30 10:08:29.234 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-06-30 10:08:29.501 [http-nio-8080-exec-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-06-30 10:12:08.001 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2023-06-30 10:12:08.010 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2023-06-30 10:12:15.045 [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication using Java 20.0.1 with PID 16096 (C:\Users\Hongzhen\IdeaProjects\project1\demo\target\classes started by Hongzhen in C:\Users\Hongzhen\IdeaProjects\project1\demo)
2023-06-30 10:12:15.048 [main] INFO  com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
